User undefined came online, timestamp: 1302890423755
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890432567
User undefined went offline, timestamp: 1302890434714
User undefined came online, timestamp: 1302890439230
User undefined came online, timestamp: 1302890941811
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890946019
action: colored, x: 143, y: 271, layer: 0, timestamp: 1302890949831
action: colored, x: 155, y: 262, layer: 0, timestamp: 1302890949848
action: get points player, for player: 8627665, layer: 2, timestamp: 1302890951023
action: colored, x: 42, y: 258, layer: 20, timestamp: 1302890951825
action: colored, x: 42, y: 259, layer: 20, timestamp: 1302890951857
action: colored, x: 42, y: 260, layer: 20, timestamp: 1302890951874
action: colored, x: 42, y: 263, layer: 20, timestamp: 1302890951891
action: colored, x: 41, y: 269, layer: 20, timestamp: 1302890951907
action: colored, x: 40, y: 273, layer: 20, timestamp: 1302890951924
action: colored, x: 40, y: 279, layer: 20, timestamp: 1302890951940
action: colored, x: 40, y: 283, layer: 20, timestamp: 1302890951957
action: colored, x: 40, y: 288, layer: 20, timestamp: 1302890951973
action: colored, x: 40, y: 292, layer: 20, timestamp: 1302890951991
action: colored, x: 42, y: 295, layer: 20, timestamp: 1302890952007
action: colored, x: 44, y: 297, layer: 20, timestamp: 1302890952023
action: colored, x: 48, y: 300, layer: 20, timestamp: 1302890952040
action: colored, x: 50, y: 303, layer: 20, timestamp: 1302890952074
action: colored, x: 54, y: 306, layer: 20, timestamp: 1302890952075
action: colored, x: 58, y: 308, layer: 20, timestamp: 1302890952090
action: colored, x: 61, y: 310, layer: 20, timestamp: 1302890952106
action: colored, x: 64, y: 311, layer: 20, timestamp: 1302890952123
action: colored, x: 70, y: 312, layer: 20, timestamp: 1302890952140
action: colored, x: 75, y: 313, layer: 20, timestamp: 1302890952156
action: colored, x: 81, y: 313, layer: 20, timestamp: 1302890952173
action: colored, x: 87, y: 313, layer: 20, timestamp: 1302890952190
action: colored, x: 92, y: 312, layer: 20, timestamp: 1302890952206
action: colored, x: 96, y: 311, layer: 20, timestamp: 1302890952223
action: colored, x: 98, y: 311, layer: 20, timestamp: 1302890952239
action: colored, x: 100, y: 311, layer: 20, timestamp: 1302890952256
action: colored, x: 100, y: 310, layer: 20, timestamp: 1302890952322
action: colored, x: 96, y: 306, layer: 20, timestamp: 1302890952339
action: colored, x: 92, y: 303, layer: 20, timestamp: 1302890952356
action: colored, x: 88, y: 299, layer: 20, timestamp: 1302890952372
action: colored, x: 83, y: 296, layer: 20, timestamp: 1302890952389
action: colored, x: 79, y: 293, layer: 20, timestamp: 1302890952405
action: colored, x: 74, y: 290, layer: 20, timestamp: 1302890952422
action: colored, x: 68, y: 287, layer: 20, timestamp: 1302890952439
action: colored, x: 62, y: 282, layer: 20, timestamp: 1302890952455
action: colored, x: 55, y: 278, layer: 20, timestamp: 1302890952472
action: colored, x: 51, y: 275, layer: 20, timestamp: 1302890952490
action: colored, x: 45, y: 273, layer: 20, timestamp: 1302890952505
action: colored, x: 42, y: 271, layer: 20, timestamp: 1302890952522
action: colored, x: 38, y: 270, layer: 20, timestamp: 1302890952538
action: colored, x: 36, y: 268, layer: 20, timestamp: 1302890952555
action: colored, x: 33, y: 268, layer: 20, timestamp: 1302890952572
